name,yr,name,plot,plot2,acalgrac,acalvirg,achimill,aegicyli,agalhete,agriparv,agroelli,agrohyem,allicana,alopcaro,ambrarte,ambrbide,ambrpsil,amorcane,amorfrut,amphdrac,anagmini,andrgera,andrvirg,anemcaro,antenegl,apoccann,arenserp,arisolig,arispurp,arnoplan,arteludo,asclsten,ascltube,asclvert,asclviri,asteeric,asteoole,astepate,astepilo,asteprae,astrcras,astrnutt,baptalba,baptaust,baptbrac,bidefron,bothsacc,boutcurt,bouthirs,briceupa,bromjapo,buchamer,buchdact,callalca,calyserr,careamph,careanne,carebush,careceph,carefest,carefran,caregrav,caremicr,celtocci,cerafont,cerccana,chaeaste,chaetain,chamfasc,chammacu,chamnuta,chlovert,chrypilo,cirsalti,cirsundu,cirsvulg,coelcyli,conycana,coregran,coretinc,crotcapi,crotglan,crotmona,crotsagi,crotwill,cuscpent,cynodact,cypeacum,cypeechi,cypelupu,cypepseu,cypeseti,cypesqua,cypestri,dalecand,dalemult,dalepurp,daucpusi,delpcaro,desmcili,desmilli,desmills,desmlept,desmmari,desmpani,desmsess,dichacum,dicholig,dichspha,digicogn,digisang,diodtere,drabbrac,drabcune,dracampl,echipall,eleomont,elymcana,elymvirg,eragspec,erechier,erigphil,erigstri,erynleav,eupaalti,euphcoro,euphdent,euphmarg,euphspat,euphtetr,euthgymn,festprat,fimbpube,fragvirg,galaregu,galiapar,galivirg,gamopurp,geracaro,geumcana,glancana,gnapobtu,grinlanc,grinsqua,gymndioi,hackvirg,hedehisp,heleamar,helihirs,helimaxi,helimoll,hierlong,hordpusi,houspusi,hypedrum,hypeperf,hypepunc,hypohirs,isolcari,ivaannua,juncbrac,juncdiff,juncinte,juncmarg,junctenu,junctorr,junivirg,koelmacr,krigcesp,kummstip,kummstri,lactserr,lepivirg,lespcapi,lespcune,lespproc,lespviol,lespvirg,liataspe,linusulc,lithinci,lomafoen,lotuunif,ludwsp,lycoamer,lythalat,malvhisp,medilupu,melioffi,mimoquad,minupatu,miraalbi,monacitr,monafist,muhlschr,myosvern,nemagemi,nothbiva,nuttcana,oenolaci,oenolini,oenospec,onosmoll,ophienge,opunmacr,oxaldill,oxalviol,paniance,panicapi,panivirg,paripens,pasppubi,paspseta,pediescu,penstubi,periamer,phalcaro,physangu,physpumi,physvirg,planaris,planpata,planvirg,poaannua,poaprate,polyaren,polyavic,polyconv,polyhydr,polyinca,polynutt,polyvert,prenaspe,prunangu,prunmexi,psortenu,pyrrcaro,pyrrgran,raticolu,rhuscopa,rhynharv,rosacaro,rubuflag,rubuostr,rudbhirt,ruelhumi,rumecris,rumehast,sabacamp,salvazur,saniodor,schepani,schiscop,scirpend,sclepauc,scutparv,seneplat,setaparv,setaviri,sibavirg,sileanti,silestel,sisycamp,solacaro,solarost,solicana,solinemo,solirigi,soncaspe,sorgnuta,sperdiva,speriner,spheobtu,sporcomp,sporsp,sporvagi,stroleio,stylbifl,symporbi,taraoffi,toriarve,toxiradi,tradohie,tragbeto,tridflav,trifcamp,trifrepe,triolept,trioperf,tripdact,ulmurubr,unkncham,unkngaur,unknspir,valeradi,verbbrac,verbcane,verbsimp,verbstri,verbthap,verburti,vernarka,vernbald,veroarve,veropere,violbico,violpeda,violsoro,vulpocto,woodobtu,xantstru
Long March.2007,2007,2007.226,226,Long March,0,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0,0.5,3.5,0.5,0,0.5,17.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0.5,17.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,3.5,0,0,0.5,0,0.5,0,0.01,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,3.5,0,0.5,0.5,0,0,0.5,0,0,3.5,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0.5,0,17.5,0,0,0,1.5,0,0,0.5,3.5,0,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,1.5,0,0,0,0,0,0.01,0,0,0,0.5,0.01,0,0,0,0,0.5,0,0.5
Long March.2008,2008,2008.226,226,Long March,0,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0,7.5,3.5,0.5,0,0,17.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,3.5,0.5,0,0.01,0,0,0,0,0,0,0,0,1.5,0,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,1.5,3.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,1.5,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,7.5,0,0.5,0.5,0,0,0.5,0,0,7.5,0,0,0.5,0,0.5,0,0,0,0,0.5,0.5,0,7.5,0,0,0,3.5,0,0,0.5,3.5,0,0,0,0,3.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
Muddy Run.1998,1998,1998.319,319,Muddy Run,0,0,0.5,0,0,0,0,0.5,0,0,0,0,3.5,0,0,0.5,0,3.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.01,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.5,0,0.01,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.01,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0.5,3.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0.01
Muddy Run.1999,1999,1999.319,319,Muddy Run,0,0,0.5,0,0,0,0,0.5,0,0,0,0,3.5,0,0,0.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.01,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,17.5,0,0,0,0,0,0.5,0,0,0,0,0.01,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.01,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,1.5,0,0,0,0,1.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0,1.5,0,0,0.5,1.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.5,0,0,0,0,0,0,0
Muddy Run.2000,2000,2000.319,319,Muddy Run,0,0,0.5,0.01,0,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,3.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,1.5,0,0.5,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0.01,0,0,0.01,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,3.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,1.5,0,0,0.5,7.5,0,0,0.5,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0
Muddy Run.2001,2001,2001.319,319,Muddy Run,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,7.5,0,3.5,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,1.5,0.5,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0.01,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,7.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,1.5,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0,1.5,0,0,0.5,3.5,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,3.5,0.5,0,0,0,0,0,0,0
Muddy Run.2002,2002,2002.319,319,Muddy Run,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,17.5,0,7.5,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,3.5,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0.01,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0.01,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0.5,3.5,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,7.5,0.5,0,0,0,0,0,0,0.5
Muddy Run.2003,2003,2003.319,319,Muddy Run,0,0,0.5,0,0,0,0,0.5,0,0,0,0,1.5,0,0,1.5,0,7.5,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1.5,0.5,0,0.5,1.5,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,1.5,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0,1.5,0,0,0.5,7.5,0,0,0.5,0,0,0,0.5,0,0,0.5,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,3.5,0.5,0,0,0,0,0,0,0.01
Muddy Run.2004,2004,2004.319,319,Muddy Run,0,0,0.5,0,0,0,0,0,0,0,0.01,0,7.5,0,0,0.5,0,37.5,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0.5,1.5,0,0.5,3.5,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,0,1.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0.01,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,1.5,0,0,0,3.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0,1.5,0,0,0.5,7.5,0,0,0.5,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,7.5,0.5,0,0,0,0.5,0,0,0
Muddy Run.2005,2005,2005.319,319,Muddy Run,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,7.5,0,0,0,0,7.5,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,1.5,0.5,0,0.5,0.5,0,3.5,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.01,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0,1.5,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,3.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,3.5,0,0,0.5,7.5,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,7.5,7.5,0.01,0,0,0,0.5,0,0,0.01
Muddy Run.2006,2006,2006.319,319,Muddy Run,0,0,0.5,0,0,0,0,0,0,0,0.01,0,7.5,0,0,0.5,0,7.5,0.5,0,0,0,0.01,0,0,0,1.5,0,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,1.5,3.5,0,0,0.5,0,3.5,0.01,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0.01,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.01,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0.5,1.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.01,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,3.5,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0,1.5,0,0,0.5,3.5,0,0,0,0,0,0,0.5,0,0,0.5,3.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,17.5,0.5,0,0,0,0.5,0,0,0
Muddy Run.2007,2007,2007.319,319,Muddy Run,0,0,0.5,0,0,0,0,0,0,0,0.5,0,3.5,0,0,0.5,0,3.5,0.5,0.01,0,0,0.5,0,0,0,1.5,0,0,0,3.5,0.5,0,0,0,0,0,0,0,0,0,0,1.5,3.5,0,0.5,0.5,0,3.5,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0.01,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0.5,0,0,0,1.5,1.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,3.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0,1.5,0,0,0.5,7.5,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,7.5,0.5,0,0,0,0.5,0,0,0
Muddy Run.2008,2008,2008.319,319,Muddy Run,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,17.5,0,0,0.5,0,7.5,0.5,0,0,0,0.5,0,0,0,3.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0.5,0.5,0,1.5,0.5,0,0,0,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.01,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,3.5,0.5,0,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.01,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,1.5,0,0.5,0.5,0,0,1.5,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,7.5,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,3.5,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,3.5,0.5,0,0,0,0.5,0.5,0,0
North Chicken.1998,1998,1998.346,346,North Chicken,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0.5,0,3.5,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0.01,1.5,0.5,0.01,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0.01,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.01,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.01,0,0,0,0,0,0,0,0,0.5,0,0.5,0,3.5,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,3.5,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.01,0,3.5,0,0.5,0,0,0,3.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.01,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.01
North Chicken.1999,1999,1999.346,346,North Chicken,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0.5,0,7.5,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0.5,1.5,1.5,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.01,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,0,3.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0.01,0.5,0,0,0.5,0,0,0,0,0,0,0,0.01,0,0.5,0,0,0,0.5,0,0,1.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,1.5,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0
